,draw_size,winner_id,winner_seed,winner_name,winner_hand,winner_ht,winner_age,loser_id,loser_seed,loser_name,loser_hand,loser_ht,loser_age,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,year,surface_cat,fav_win
0,32,105992,0,Ryan Harrison,R,183.0,25.6,104919,0,Leonardo Mayer,R,188.0,30.6,3,32,123.0,9.0,2.0,82.0,49.0,39.0,20.0,13.0,8.0,9.0,10.0,3.0,80.0,47.0,33.0,19.0,14.0,1.0,4.0,47.0,1010.0,52.0,909.0,2018,2,True
1,32,111577,0,Jared Donaldson,R,188.0,21.2,111442,0,Jordan Thompson,R,183.0,23.7,3,32,90.0,5.0,3.0,58.0,32.0,25.0,14.0,9.0,4.0,5.0,3.0,5.0,62.0,41.0,25.0,7.0,9.0,7.0,11.0,54.0,890.0,94.0,593.0,2018,2,True
2,32,104797,0,Denis Istomin,R,188.0,31.3,106000,7,Damir Dzumhur,R,172.0,25.6,3,32,145.0,7.0,0.0,94.0,66.0,48.0,12.0,14.0,9.0,11.0,8.0,6.0,120.0,53.0,37.0,29.0,15.0,10.0,16.0,63.0,809.0,30.0,1391.0,2018,2,False
3,32,200282,0,Alex De Minaur,R,183.0,18.8,105449,0,Steve Johnson,R,188.0,28.0,3,32,104.0,9.0,3.0,66.0,37.0,32.0,17.0,11.0,2.0,3.0,6.0,2.0,80.0,43.0,33.0,17.0,11.0,4.0,6.0,208.0,245.0,44.0,1055.0,2018,2,False
4,32,111581,0,Michael Mmoh,R,188.0,19.9,105643,0,Federico Delbonis,L,190.0,27.2,3,32,69.0,5.0,4.0,55.0,38.0,32.0,11.0,10.0,3.0,3.0,4.0,0.0,45.0,35.0,28.0,5.0,9.0,0.0,2.0,175.0,299.0,68.0,755.0,2018,2,False
5,32,104999,8,Mischa Zverev,L,190.0,30.3,105441,0,John Patrick Smith,L,188.0,28.9,3,32,88.0,4.0,1.0,66.0,51.0,35.0,6.0,11.0,3.0,6.0,4.0,0.0,69.0,51.0,27.0,8.0,11.0,1.0,6.0,33.0,1302.0,218.0,235.0,2018,2,True
6,32,105238,0,Alexandr Dolgopolov,R,180.0,29.1,106043,6,Diego Schwartzman,R,170.0,25.3,3,32,93.0,6.0,4.0,69.0,40.0,32.0,16.0,11.0,3.0,4.0,1.0,2.0,70.0,34.0,22.0,20.0,11.0,1.0,3.0,38.0,1231.0,26.0,1675.0,2018,2,False
7,32,104547,0,Horacio Zeballos,L,188.0,32.6,124014,0,Ernesto Escobedo,R,185.0,21.4,3,32,72.0,12.0,3.0,57.0,37.0,31.0,11.0,10.0,1.0,1.0,9.0,0.0,51.0,32.0,25.0,10.0,9.0,4.0,6.0,66.0,768.0,120.0,498.0,2018,2,True
8,32,105051,0,Matthew Ebden,R,188.0,30.0,126207,0,Frances Tiafoe,R,188.0,19.9,3,32,59.0,7.0,1.0,48.0,32.0,23.0,11.0,9.0,2.0,3.0,4.0,4.0,46.0,25.0,18.0,6.0,8.0,1.0,5.0,76.0,670.0,79.0,662.0,2018,2,True
9,32,111202,0,Hyeon Chung,R,188.0,21.6,104180,5,Gilles Muller,L,193.0,34.6,3,32,99.0,7.0,4.0,64.0,35.0,29.0,17.0,10.0,2.0,2.0,19.0,5.0,68.0,40.0,33.0,10.0,11.0,3.0,5.0,58.0,844.0,25.0,1695.0,2018,2,False
10,32,106378,0,Kyle Edmund,R,188.0,22.9,133430,0,Denis Shapovalov,L,185.0,18.7,3,32,150.0,5.0,5.0,113.0,65.0,54.0,29.0,17.0,5.0,6.0,18.0,5.0,100.0,62.0,54.0,18.0,17.0,1.0,3.0,50.0,992.0,51.0,981.0,2018,2,True
